Equipment Name,Type,Flowrate,Pressure,Temperature
Equipment_1,Compressor,96.38,30.94,40.62
Equipment_2,Distillation Column,522.24,16.89,295.55
Equipment_3,Reactor,710.82,39.88,542.73
Equipment_4,Valve,468.16,64.39,580.81
Equipment_5,Reactor,492.85,25.72,455.26
Equipment_6,Distillation Column,381.73,73.54,441.42
Equipment_7,Valve,41.35,41.17,354.24
Equipment_8,Heat Exchanger,466.57,54.6,679.94
Equipment_9,Distillation Column,249.7,41.27,382.28
Equipment_10,Heat Exchanger,749.6,70.86,81.82
Equipment_11,Distillation Column,109.44,54.98,697.82
Equipment_12,Valve,791.2,30.01,396.0
Equipment_13,Pump,36.99,16.45,151.36
Equipment_14,Pump,351.93,79.03,572.06
Equipment_15,Pump,201.25,5.08,484.96
Equipment_16,Valve,164.08,30.02,54.41
Equipment_17,Distillation Column,741.42,55.53,573.42
Equipment_18,Pump,239.83,31.19,327.03
Equipment_19,Reactor,463.91,48.31,13.86
Equipment_20,Valve,16.02,72.2,159.76
Equipment_21,Distillation Column,259.57,4.39,675.73
Equipment_22,Pump,389.79,69.18,352.49
Equipment_23,Heat Exchanger,240.6,45.39,68.29
Equipment_24,Compressor,108.01,10.11,230.72
Equipment_25,Distillation Column,223.38,32.28,503.48
Equipment_26,Heat Exchanger,744.76,43.81,220.64
Equipment_27,Compressor,272.68,16.51,199.06
Equipment_28,Pump,69.83,15.63,268.23
Equipment_29,Reactor,312.64,7.45,658.17
Equipment_30,Valve,224.49,17.16,465.53
Equipment_31,Pump,292.89,52.04,114.68
Equipment_32,Heat Exchanger,276.34,28.34,482.01
Equipment_33,Pump,666.33,74.29,283.04
Equipment_34,Distillation Column,623.45,6.45,691.12
Equipment_35,Valve,405.94,7.9,531.46
Equipment_36,Distillation Column,255.43,17.3,364.79
Equipment_37,Pump,673.32,74.03,187.46
Equipment_38,Reactor,461.19,40.18,319.59
Equipment_39,Valve,555.76,32.35,517.22
Equipment_40,Valve,152.76,4.79,274.59
Equipment_41,Heat Exchanger,83.19,42.47,285.48
Equipment_42,Distillation Column,43.1,6.65,369.9
Equipment_43,Heat Exchanger,24.05,44.79,665.88
Equipment_44,Reactor,339.21,58.32,221.66
Equipment_45,Compressor,705.27,39.79,124.02
Equipment_46,Heat Exchanger,238.26,21.87,582.81
Equipment_47,Compressor,568.48,37.65,587.24
Equipment_48,Compressor,682.75,22.77,630.57
Equipment_49,Compressor,574.91,72.53,697.7
Equipment_50,Compressor,221.22,44.51,656.12
Equipment_51,Pump,379.52,46.17,300.81
Equipment_52,Pump,399.04,25.65,542.18
Equipment_53,Pump,470.28,58.39,188.18
Equipment_54,Distillation Column,454.08,30.35,697.97
Equipment_55,Reactor,756.14,20.32,299.59
Equipment_56,Reactor,298.48,33.75,146.87
Equipment_57,Distillation Column,318.14,44.59,33.09
Equipment_58,Valve,287.88,24.32,591.29
Equipment_59,Compressor,197.6,54.33,46.03
Equipment_60,Pump,69.42,36.33,675.84
Equipment_61,Distillation Column,547.4,26.4,499.74
Equipment_62,Compressor,733.18,45.86,688.43
Equipment_63,Heat Exchanger,356.27,39.32,686.15
Equipment_64,Reactor,552.1,39.23,357.83
Equipment_65,Pump,655.91,28.52,403.23
Equipment_66,Valve,764.34,65.18,172.48
Equipment_67,Pump,160.69,55.44,575.11
Equipment_68,Distillation Column,231.36,49.27,209.52
Equipment_69,Pump,472.07,13.82,675.06
Equipment_70,Compressor,223.77,52.13,340.76
Equipment_71,Compressor,118.0,79.89,487.95
Equipment_72,Pump,87.05,77.06,647.87
Equipment_73,Distillation Column,740.52,3.17,566.9
Equipment_74,Distillation Column,700.21,19.21,670.12
Equipment_75,Heat Exchanger,694.27,11.38,132.64
Equipment_76,Pump,791.83,65.1,645.13
Equipment_77,Compressor,623.09,54.66,386.81
Equipment_78,Reactor,450.12,47.2,574.02
Equipment_79,Heat Exchanger,74.81,26.63,17.9
Equipment_80,Valve,327.69,25.13,159.13
Equipment_81,Heat Exchanger,131.48,50.93,420.63
Equipment_82,Reactor,664.82,42.33,221.26
Equipment_83,Compressor,5.01,68.71,676.72
Equipment_84,Heat Exchanger,156.11,22.28,497.27
Equipment_85,Pump,644.97,19.4,566.9
Equipment_86,Compressor,727.52,36.9,466.65
Equipment_87,Distillation Column,350.33,67.84,161.5
Equipment_88,Pump,73.76,48.41,76.78
Equipment_89,Compressor,418.12,16.3,142.52
Equipment_90,Pump,114.87,51.16,14.78
Equipment_91,Valve,287.82,16.08,71.47
Equipment_92,Reactor,684.95,71.45,255.85
Equipment_93,Heat Exchanger,775.1,56.61,114.44
Equipment_94,Heat Exchanger,57.74,75.59,83.3
Equipment_95,Pump,385.35,38.4,688.64
Equipment_96,Valve,640.25,49.69,602.85
Equipment_97,Valve,604.22,33.28,664.92
Equipment_98,Heat Exchanger,261.27,62.56,537.11
Equipment_99,Pump,507.47,33.5,645.83
Equipment_100,Reactor,131.76,33.21,246.76
Equipment_101,Heat Exchanger,725.4,1.89,408.08
Equipment_102,Compressor,656.16,53.77,391.16
Equipment_103,Distillation Column,178.47,27.15,571.72
Equipment_104,Pump,209.47,71.05,400.22
Equipment_105,Heat Exchanger,404.32,24.38,413.52
Equipment_106,Valve,570.9,76.2,320.54
Equipment_107,Heat Exchanger,207.9,62.57,377.84
Equipment_108,Reactor,652.21,9.67,462.02
Equipment_109,Reactor,56.48,73.08,297.9
Equipment_110,Valve,91.2,27.77,340.06
Equipment_111,Valve,319.63,60.86,599.88
Equipment_112,Valve,780.73,35.73,353.4
Equipment_113,Heat Exchanger,439.07,66.28,232.91
Equipment_114,Pump,393.99,12.0,677.17
Equipment_115,Valve,780.65,2.69,423.4
Equipment_116,Pump,19.12,23.24,40.31
Equipment_117,Pump,324.52,45.98,121.48
Equipment_118,Distillation Column,604.65,42.67,109.23
Equipment_119,Compressor,285.12,48.51,238.16
Equipment_120,Heat Exchanger,206.19,37.78,96.24
Equipment_121,Distillation Column,363.86,14.1,537.65
Equipment_122,Valve,393.07,67.37,553.03
Equipment_123,Valve,654.78,67.4,69.75
Equipment_124,Valve,305.75,49.25,174.55
Equipment_125,Pump,486.39,16.89,103.29
Equipment_126,Reactor,185.91,55.96,109.14
Equipment_127,Distillation Column,18.01,76.57,51.3
Equipment_128,Pump,773.76,44.86,38.27
